open_time,open,high,low,close,volume,taker_buy_base_asset_volume
2025-06-14 04:40:00+00:00,105259.3,105283.1,105231.1,105237.8,49.269,25.669
2025-06-14 04:41:00+00:00,105237.7,105257.9,105231.2,105257.8,15.089,7.996
2025-06-14 04:42:00+00:00,105257.9,105257.9,105245.8,105253.0,14.854,5.243
2025-06-14 04:43:00+00:00,105253.0,105288.9,105253.0,105281.8,15.356,11.045
2025-06-14 04:44:00+00:00,105281.8,105287.4,105275.5,105287.4,18.607,11.525
2025-06-14 04:45:00+00:00,105287.4,105300.0,105287.3,105296.1,15.358,12.829
2025-06-14 04:46:00+00:00,105296.2,105296.2,105296.1,105296.2,8.284,4.881
2025-06-14 04:47:00+00:00,105296.2,105296.2,105296.1,105296.2,5.327,4.721
2025-06-14 04:48:00+00:00,105296.2,105336.0,105296.1,105335.0,54.947,44.368
2025-06-14 04:49:00+00:00,105335.0,105335.9,105308.8,105308.9,29.044,6.382
2025-06-14 04:50:00+00:00,105308.8,105308.9,105293.5,105300.0,20.128,8.632
2025-06-14 04:51:00+00:00,105300.1,105300.1,105245.2,105262.5,63.286,9.841
2025-06-14 04:52:00+00:00,105262.5,105275.0,105262.4,105275.0,18.935,11.849
2025-06-14 04:53:00+00:00,105275.0,105275.0,105270.1,105270.2,10.746,3.811
2025-06-14 04:54:00+00:00,105270.2,105287.4,105261.8,105261.8,26.113,12.198
2025-06-14 04:55:00+00:00,105261.9,105261.9,105261.8,105261.9,5.858,1.653
2025-06-14 04:56:00+00:00,105261.8,105295.5,105244.5,105295.5,69.227,63.404
2025-06-14 04:57:00+00:00,105295.5,105311.0,105295.5,105311.0,8.726,6.907
2025-06-14 04:58:00+00:00,105311.0,105328.8,105307.2,105328.8,26.665,13.27
2025-06-14 04:59:00+00:00,105328.8,105328.8,105323.7,105323.7,18.713,12.645
2025-06-14 05:00:00+00:00,105323.8,105374.9,105306.6,105311.2,168.809,111.56
2025-06-14 05:01:00+00:00,105311.2,105311.3,105295.4,105295.4,33.968,1.359
2025-06-14 05:02:00+00:00,105295.4,105304.7,105273.0,105304.6,41.873,24.882
2025-06-14 05:03:00+00:00,105304.6,105309.0,105275.6,105278.5,28.29,9.045
2025-06-14 05:04:00+00:00,105278.5,105292.8,105278.5,105285.0,14.842,7.345
2025-06-14 05:05:00+00:00,105284.9,105285.0,105272.0,105272.0,11.183,4.335
2025-06-14 05:06:00+00:00,105272.0,105282.0,105262.5,105265.9,35.059,25.397
2025-06-14 05:07:00+00:00,105265.9,105274.4,105265.9,105274.3,31.174,12.958
2025-06-14 05:08:00+00:00,105274.4,105274.8,105260.0,105274.7,19.348,7.595
2025-06-14 05:09:00+00:00,105274.7,105274.8,105257.0,105257.1,10.147,3.017
2025-06-14 05:10:00+00:00,105257.0,105264.3,105257.0,105264.2,5.868,4.638
2025-06-14 05:11:00+00:00,105264.2,105264.3,105264.2,105264.3,9.936,7.325
2025-06-14 05:12:00+00:00,105264.2,105264.3,105261.1,105261.1,9.505,4.466
2025-06-14 05:13:00+00:00,105261.2,105267.5,105261.1,105267.4,18.633,15.63
2025-06-14 05:14:00+00:00,105267.4,105267.4,105239.4,105239.4,22.693,4.809
2025-06-14 05:15:00+00:00,105239.5,105239.5,105235.0,105235.0,10.459,1.646
2025-06-14 05:16:00+00:00,105235.0,105235.1,105235.0,105235.0,14.248,3.58
2025-06-14 05:17:00+00:00,105235.0,105243.6,105235.0,105238.8,16.146,11.013
2025-06-14 05:18:00+00:00,105238.8,105238.9,105220.2,105220.2,32.135,17.716
2025-06-14 05:19:00+00:00,105220.2,105220.4,105220.2,105220.4,6.803,3.573
2025-06-14 05:20:00+00:00,105220.3,105304.8,105220.2,105283.7,137.605,133.09
2025-06-14 05:21:00+00:00,105283.8,105283.8,105257.9,105257.9,14.401,2.319
2025-06-14 05:22:00+00:00,105257.9,105258.0,105252.0,105254.4,18.543,5.499
2025-06-14 05:23:00+00:00,105254.5,105273.3,105254.4,105273.2,8.995,5.464
2025-06-14 05:24:00+00:00,105273.3,105273.3,105260.3,105265.6,12.573,2.837
2025-06-14 05:25:00+00:00,105265.6,105265.6,105260.4,105260.4,17.693,2.052
2025-06-14 05:26:00+00:00,105260.5,105260.5,105260.0,105260.0,12.943,4.46
2025-06-14 05:27:00+00:00,105260.1,105289.1,105243.4,105289.1,20.396,14.563
2025-06-14 05:28:00+00:00,105289.1,105297.5,105267.8,105267.8,39.478,6.781
2025-06-14 05:29:00+00:00,105267.9,105267.9,105260.3,105267.9,11.367,8.036
2025-06-14 05:30:00+00:00,105267.9,105267.9,105243.7,105243.7,28.204,3.726
2025-06-14 05:31:00+00:00,105243.8,105243.8,105233.1,105242.5,15.638,4.976
2025-06-14 05:32:00+00:00,105242.6,105242.6,105235.2,105235.3,7.366,3.153
2025-06-14 05:33:00+00:00,105235.3,105235.3,105219.0,105219.1,24.144,2.976
2025-06-14 05:34:00+00:00,105219.1,105219.1,105204.8,105204.9,21.654,3.068
2025-06-14 05:35:00+00:00,105204.9,105225.0,105204.8,105224.9,16.293,12.932
2025-06-14 05:36:00+00:00,105224.9,105225.0,105222.8,105222.8,16.567,2.615
2025-06-14 05:37:00+00:00,105222.9,105291.4,105222.9,105291.3,35.718,30.64
2025-06-14 05:38:00+00:00,105291.3,105297.4,105276.7,105276.8,18.823,6.538
2025-06-14 05:39:00+00:00,105276.7,105276.8,105256.9,105257.0,21.094,6.903
2025-06-14 05:40:00+00:00,105256.9,105272.0,105256.9,105271.9,8.814,7.689
2025-06-14 05:41:00+00:00,105271.9,105272.0,105271.9,105271.9,7.991,5.555
2025-06-14 05:42:00+00:00,105272.0,105297.4,105271.9,105297.4,13.808,12.667
2025-06-14 05:43:00+00:00,105297.3,105297.4,105286.9,105289.5,21.54,10.05
2025-06-14 05:44:00+00:00,105289.6,105297.4,105289.5,105292.9,13.004,6.446
2025-06-14 05:45:00+00:00,105293.0,105296.9,105292.9,105296.9,16.179,5.933
2025-06-14 05:46:00+00:00,105296.9,105297.4,105292.5,105293.7,20.481,12.85
2025-06-14 05:47:00+00:00,105293.7,105302.7,105293.6,105302.6,12.446,9.561
2025-06-14 05:48:00+00:00,105302.7,105327.1,105302.7,105304.1,51.699,23.555
2025-06-14 05:49:00+00:00,105304.2,105304.2,105293.2,105293.3,13.554,1.959
2025-06-14 05:50:00+00:00,105293.3,105300.0,105293.2,105299.9,10.599,8.753
2025-06-14 05:51:00+00:00,105300.0,105310.5,105299.9,105310.5,14.174,12.528
2025-06-14 05:52:00+00:00,105310.4,105311.4,105304.0,105304.0,21.566,11.082
